epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.56,2.95774,3.71298,4.27507,0.00311,0.82353,0.00919,0.0027,2.40099,3.88058,4.15917,0,0,0
2,27.0121,2.99688,3.65376,4.27041,0.00311,0.82353,0.00919,0.0027,2.40097,3.88096,4.15865,1.9901e-05,1.9901e-05,1.9901e-05
3,36.1951,2.89163,3.68726,4.25929,0.00311,0.82353,0.00919,0.0027,2.40097,3.87852,4.15826,3.9604e-05,3.9604e-05,3.9604e-05
4,45.0771,2.86096,3.70358,4.26201,0.00311,0.82353,0.00919,0.0027,2.40112,3.87873,4.1582,5.9109e-05,5.9109e-05,5.9109e-05
5,55.2262,2.88879,3.67309,4.26119,0.00311,0.82353,0.00919,0.0027,2.40112,3.87873,4.15812,7.8416e-05,7.8416e-05,7.8416e-05
6,71.5809,2.99875,3.65889,4.27904,0.00311,0.82353,0.00919,0.0027,2.40108,3.87796,4.15791,9.7525e-05,9.7525e-05,9.7525e-05
7,83.2964,3.01965,3.65406,4.27006,0.00311,0.82353,0.00919,0.0027,2.40123,3.87819,4.15786,0.000116436,0.000116436,0.000116436
8,96.5587,3.0675,3.65951,4.27455,0.00311,0.82353,0.00919,0.00261,2.40155,3.87854,4.15785,0.000135149,0.000135149,0.000135149
9,106.785,2.91973,3.70473,4.2689,0.00311,0.82353,0.00765,0.00308,2.40179,3.87837,4.15804,0.000153664,0.000153664,0.000153664
10,116.704,3.0299,3.70256,4.27023,0.00311,0.82353,0.0068,0.00368,2.40179,3.87837,4.15779,0.000171981,0.000171981,0.000171981
11,126.271,2.97243,3.66845,4.23218,0.00311,0.82353,0.0068,0.00368,2.40179,3.87837,4.15737,0.0001901,0.0001901,0.0001901
12,135.839,3.06597,3.63015,4.23741,0.00311,0.82353,0.00919,0.00261,2.40179,3.87593,4.15714,0.000208021,0.000208021,0.000208021
13,146.782,2.98853,3.6797,4.21464,0.00311,0.82353,0.00919,0.00261,2.40179,3.87593,4.15694,0.000225744,0.000225744,0.000225744
14,156.262,2.88338,3.60386,4.20269,0.00311,0.82353,0.0068,0.00368,2.40187,3.87234,4.1579,0.000243269,0.000243269,0.000243269
15,170.871,2.98464,3.62271,4.19181,0.00311,0.82353,0.00786,0.00277,2.40184,3.87486,4.15777,0.000260596,0.000260596,0.000260596
16,186.332,2.86727,3.61211,4.18897,0.00311,0.82353,0.00919,0.0027,2.40239,3.87385,4.157,0.000277725,0.000277725,0.000277725
17,196.982,2.99466,3.59615,4.17717,0.00311,0.82353,0.00923,0.00268,2.40241,3.87207,4.15722,0.000294656,0.000294656,0.000294656
18,206.032,2.92761,3.55078,4.15566,0.00311,0.82353,0.00923,0.00259,2.40297,3.87291,4.15771,0.000311389,0.000311389,0.000311389
19,215.182,2.89111,3.55719,4.15657,0.00311,0.82353,0.00923,0.00259,2.40323,3.87438,4.15706,0.000327924,0.000327924,0.000327924
20,224.276,2.96979,3.58775,4.14974,0.00311,0.82353,0.00923,0.00259,2.40528,3.87313,4.15665,0.000344261,0.000344261,0.000344261
21,233.481,2.90126,3.52218,4.12698,0.00311,0.82353,0.00573,0.00194,2.40301,3.8745,4.15635,0.0003604,0.0003604,0.0003604
22,242.552,3.00514,3.52318,4.09633,0.00311,0.82353,0.00923,0.00259,2.40212,3.87468,4.156,0.000376341,0.000376341,0.000376341
23,251.584,2.78641,3.46159,4.0546,0.00311,0.82353,0.00923,0.00259,2.40078,3.87392,4.15632,0.000392084,0.000392084,0.000392084
24,260.608,2.97865,3.4764,4.06505,0.00311,0.82353,0.00873,0.00294,2.40109,3.87679,4.1566,0.000407629,0.000407629,0.000407629
25,269.643,3.0057,3.44956,4.0006,0.00311,0.82353,0.00924,0.00265,2.40109,3.87679,4.15686,0.000422976,0.000422976,0.000422976
26,278.835,2.87307,3.4195,3.98559,0.00311,0.82353,0.00923,0.0026,2.40064,3.87595,4.15855,0.000438125,0.000438125,0.000438125
27,287.813,3.08575,3.4147,3.96324,0.00311,0.82353,0.00685,0.00196,2.4003,3.87818,4.16177,0.000453076,0.000453076,0.000453076
28,296.863,2.94257,3.37864,3.93432,0.00311,0.82353,0.0068,0.00199,2.40065,3.87868,4.1656,0.000467829,0.000467829,0.000467829
29,305.885,3.00086,3.35115,3.91024,0.00311,0.82353,0.00566,0.00209,2.39875,3.88062,4.17153,0.000482384,0.000482384,0.000482384
30,314.432,2.90482,3.40095,3.86383,0.00311,0.82353,0.0064,0.00192,2.39708,3.88192,4.17699,0.000496741,0.000496741,0.000496741
31,323.459,2.87742,3.2957,3.84318,0.00311,0.82353,0.01503,0.00278,2.39545,3.88552,4.18453,0.0005109,0.0005109,0.0005109
32,332.332,2.94784,3.31133,3.8157,0.00311,0.82353,0.00694,0.00213,2.39409,3.88921,4.19033,0.000524861,0.000524861,0.000524861
33,341.103,2.88267,3.27452,3.79179,0.00311,0.82353,0.00604,0.00186,2.39172,3.88974,4.20032,0.000538624,0.000538624,0.000538624
34,349.943,2.91874,3.28017,3.80742,0.00311,0.82353,0.00547,0.00187,2.39047,3.89317,4.20748,0.000552189,0.000552189,0.000552189
35,358.915,2.8456,3.24974,3.72991,0.00311,0.82353,0.00641,0.00203,2.38888,3.89495,4.21365,0.000565556,0.000565556,0.000565556
36,367.856,2.88409,3.23887,3.72133,0.00311,0.82353,0.00637,0.0019,2.38902,3.89695,4.21796,0.000578725,0.000578725,0.000578725
37,376.599,2.86905,3.15506,3.67857,0.00311,0.82353,0.00646,0.00192,2.38967,3.90286,4.22799,0.000591696,0.000591696,0.000591696
38,385.63,2.9091,3.1713,3.70238,0.00311,0.82353,0.00557,0.00192,2.38797,3.90658,4.25119,0.000604469,0.000604469,0.000604469
39,394.599,2.79767,3.21543,3.68092,0.00311,0.82353,0.00628,0.00193,2.38862,3.90869,4.26323,0.000617044,0.000617044,0.000617044
40,403.637,2.97007,3.18344,3.68319,0.00311,0.82353,0.00574,0.00179,2.38853,3.9128,4.26927,0.000629421,0.000629421,0.000629421
41,412.34,2.80886,3.15556,3.60666,0.00311,0.82353,0.00779,0.00218,2.38687,3.91391,4.29229,0.0006416,0.0006416,0.0006416
42,421.157,2.9807,3.17071,3.64306,0.00311,0.82353,0.00599,0.00184,2.38544,3.91808,4.31513,0.000653581,0.000653581,0.000653581
43,429.728,2.75908,3.08542,3.54571,0.00311,0.82353,0.00648,0.00211,2.38522,3.9201,4.3256,0.000665364,0.000665364,0.000665364
44,439.181,2.79633,3.07511,3.54532,0.00311,0.82353,0.00502,0.00192,2.38661,3.92389,4.34462,0.000676949,0.000676949,0.000676949
45,456.301,2.73917,3.07816,3.5378,0.00311,0.82353,0.00569,0.00205,2.38375,3.92453,4.38239,0.000688336,0.000688336,0.000688336
46,481.828,2.84425,3.05164,3.54643,0.00311,0.82353,0.00723,0.0022,2.38221,3.92477,4.3979,0.000699525,0.000699525,0.000699525
47,491.923,2.8095,3.08875,3.52539,0.00311,0.82353,0.00654,0.00209,2.38011,3.9295,4.39642,0.000710516,0.000710516,0.000710516
48,501.534,2.77813,3.0013,3.47854,0.00311,0.82353,0.00663,0.00211,2.37687,3.93224,4.42202,0.000721309,0.000721309,0.000721309
49,512.513,2.87264,2.98521,3.4396,0.00311,0.82353,0.00702,0.00198,2.37866,3.93632,4.41745,0.000731904,0.000731904,0.000731904
50,522.792,2.83805,2.84927,3.43437,0.00311,0.82353,0.00672,0.00202,2.38,3.94282,4.40012,0.000742301,0.000742301,0.000742301
51,541.541,2.75034,2.95298,3.39424,0.00311,0.82353,0.00486,0.00182,2.37816,3.94813,4.41218,0.0007525,0.0007525,0.0007525
52,554.968,2.79839,2.93541,3.40502,0.00311,0.82353,0.00632,0.00196,2.37681,3.94838,4.44629,0.000762501,0.000762501,0.000762501
53,568.074,2.90468,2.89025,3.39726,0.00311,0.82353,0.0054,0.00188,2.38071,3.95516,4.44454,0.000772304,0.000772304,0.000772304
54,581.624,2.83185,2.88078,3.41208,0.00311,0.82353,0.00586,0.00197,2.38391,3.96414,4.41129,0.000781909,0.000781909,0.000781909
55,593.069,2.66221,2.79799,3.28301,0.00311,0.82353,0.00641,0.00199,2.38929,3.97004,4.35206,0.000791316,0.000791316,0.000791316
56,604.91,2.68128,2.802,3.2897,0.00311,0.82353,0.00725,0.00211,2.39231,3.97327,4.31384,0.000800525,0.000800525,0.000800525
57,619.808,2.684,2.81029,3.23625,0.00311,0.82353,0.00729,0.00211,2.39282,3.86824,4.36266,0.000809536,0.000809536,0.000809536
58,633.558,2.62798,2.74029,3.17381,0.00311,0.82353,0.0068,0.00215,2.39301,3.86366,4.42626,0.000818349,0.000818349,0.000818349
59,643.021,2.60581,2.66807,3.15802,0.00311,0.82353,0.00626,0.00244,2.39412,3.85222,4.4536,0.000826964,0.000826964,0.000826964
60,652.609,2.67763,2.68252,3.18386,0.00311,0.82353,0.00677,0.00261,2.39962,3.85609,4.46346,0.000835381,0.000835381,0.000835381
61,661.921,2.63854,2.64014,3.12163,0.00311,0.82353,0.00601,0.00227,2.40517,3.86319,4.46577,0.0008436,0.0008436,0.0008436
